,Valeurs_Manquantes,Count (non nulles),Somme,Minimum,Maximum,Moyenne
code,0,2671000,6.128889681368937e+20,2,13251212512000207977,229460489755482.47
url,0.0,,,,,
creator,12.0,,,,,
created_t,0.0,4428527.0,7272905168326598.0,1328021038.0,1773928393.0,1642285384.8077698
created_datetime,0.0,,,,,
last_modified_t,0.0,4428527.0,7557498598793670.0,1353581570.0,1773928837.0,1706549062.2036786
last_modified_datetime,0.0,,,,,
last_modified_by,180619.0,,,,,
last_updated_t,322.0,4428205.0,7741229312567093.0,1705767988.0,1773928837.0,1748164168.6794295
last_updated_datetime,322.0,,,,,
product_name,347828.0,,,,,
abbreviated_product_name,4398457.0,42.0,11855.0,150.0,475.0,282.26190476190476
generic_name,4245409.0,0.0,0.0,inf,-inf,
quantity,3018799.0,,,,,
packaging,4045823.0,718.0,0.0,0.0,0.0,0.0
packaging_tags,4045831.0,0.0,0.0,inf,-inf,
packaging_en,4045841.0,0.0,0.0,inf,-inf,
packaging_text,4396908.0,1.0,1.0,1.0,1.0,1.0
brands,1660055.0,0.0,0.0,inf,-inf,
brands_tags,1659638.0,0.0,0.0,inf,-inf,
brands_en,1659917.0,0.0,0.0,inf,-inf,
categories,2598031.0,,,,,
categories_tags,2598042.0,,,,,
categories_en,2598043.0,,,,,
origins,4257194.0,0.0,0.0,inf,-inf,
origins_tags,4257309.0,0.0,0.0,inf,-inf,
origins_en,4257318.0,0.0,0.0,inf,-inf,
manufacturing_places,4209159.0,0.0,0.0,inf,-inf,
manufacturing_places_tags,4209220.0,0.0,0.0,inf,-inf,
labels,3213506.0,0.0,0.0,inf,-inf,
labels_tags,3213481.0,0.0,0.0,inf,-inf,
labels_en,3213509.0,0.0,0.0,inf,-inf,
emb_codes,4210649.0,113.0,94902001528844.0,575.0,62810035101305.0,839840721494.1947
emb_codes_tags,4210704.0,117.0,110087756790042.0,575.0,62810035101305.0,940920998205.4872
first_packaging_code_geo,4334251.0,0.0,0.0,inf,-inf,
cities,4428525.0,0.0,0.0,inf,-inf,
cities_tags,4326862.0,0.0,0.0,inf,-inf,
purchase_places,4216963.0,0.0,0.0,inf,-inf,
stores,3900323.0,0.0,0.0,inf,-inf,
countries,23333.0,,,,,
countries_tags,23338.0,,,,,
countries_en,23338.0,,,,,
ingredients_text,3155718.0,0.0,0.0,inf,-inf,
ingredients_tags,3159018.0,0.0,0.0,inf,-inf,
ingredients_analysis_tags,3081802.0,0.0,0.0,inf,-inf,
allergens,4065784.0,0.0,0.0,inf,-inf,
allergens_en,4428525.0,1.0,1690213464.0,1690213464.0,1690213464.0,1690213464.0
traces,4258200.0,0.0,0.0,inf,-inf,
traces_tags,4197633.0,0.0,0.0,inf,-inf,
traces_en,4202766.0,0.0,0.0,inf,-inf,
serving_size,3042075.0,0.0,0.0,inf,-inf,
serving_quantity,3064306.0,1363419.0,5.45755764616432e+31,0.0,5.45755764616432e+31,4.002846994331398e+25
no_nutrition_data,4390944.0,0.0,0.0,inf,-inf,
additives_n,3158127.0,1268823.0,2374854.0,0.0,319.0,1.8716984165640125
additives,4428487.0,0.0,0.0,inf,-inf,
additives_tags,3736204.0,0.0,0.0,inf,-inf,
additives_en,3736204.0,0.0,0.0,inf,-inf,
nutriscore_score,3071967.0,1355908.0,14915905.0,-18.0,55.0,11.000676299571948
nutriscore_grade,68625.0,,,,,
nova_group,3310468.0,1118059.0,3738102.0,1.0,138.0,3.343385277521133
pnns_groups_1,66414.0,,,,,
pnns_groups_2,66413.0,,,,,
food_groups,3004048.0,,,,,
food_groups_tags,3004048.0,,,,,
food_groups_en,3004049.0,,,,,
states,2.0,,,,,
states_tags,2.0,,,,,
states_en,2.0,,,,,
brand_owner,4111029.0,0.0,0.0,inf,-inf,
environmental_score_score,3591093.0,837434.0,42843967.0,-30.0,125.0,51.16100731520335
environmental_score_grade,1122084.0,,,,,
nutrient_levels_tags,2935429.0,,,,,
product_quantity,3038547.0,1389980.0,3.131424248249394e+20,0.0,3.12142424824242e+20,225285561536813.06
owner,4287949.0,0.0,0.0,inf,-inf,
data_quality_errors_tags,4260006.0,0.0,0.0,inf,-inf,
unique_scans_n,2810650.0,1617877.0,5318863.0,1.0,3410.0,3.287557088703282
popularity_tags,2817263.0,,,,,
completeness,1404.0,4427123.0,1848735.8375000013,0.05,1.1,0.41759305930736534
last_image_t,1007821.0,3420706.0,5669663735332049.0,1331578422.0,1773928388.0,1657454261.001106
last_image_datetime,1007821.0,0.0,0.0,inf,-inf,
main_category,2598043.0,,,,,
main_category_en,2598045.0,,,,,
image_url,1130587.0,0.0,0.0,inf,-inf,
image_small_url,1130587.0,0.0,0.0,inf,-inf,
image_ingredients_url,3257704.0,0.0,0.0,inf,-inf,
image_ingredients_small_url,3257704.0,0.0,0.0,inf,-inf,
image_nutrition_url,2232479.0,0.0,0.0,inf,-inf,
image_nutrition_small_url,2232479.0,0.0,0.0,inf,-inf,
energy-kj_100g,3992762.0,435765.0,485791005.5136018,-700.0,1600000.0,1114.8004211297414
energy-kcal_100g,3987577.0,440950.0,124176651.88762814,0.0,3701123.0,281.6116382529269
energy_100g,3987439.0,441088.0,489265590.5136019,-700.0,1600000.0,1109.224441638861
energy-from-fat_100g,4428240.0,287.0,132176.02034315094,0.0,3626.66666666667,460.5436248890277
fat_100g,3991364.0,437163.0,5625640.419511006,-0.880969080882353,10000.0,12.868519109602154
saturated-fat_100g,4004790.0,423737.0,2653359.8286926476,-0.330748535041809,588000.0,6.261808217579885
